habitat_code,crop_type,crop_stage
1,barley,young
2,chick_peas_mung_bean,young
3,sorghum,young
4,soybean,young
5,cotton,young
6,corn,young
7,wheat,young
8,sunflower,young
9,canary,young
10,millet,young
11,barley,mature
12,chick_peas_mung_bean,mature
13,sorghum,mature
14,soybean,mature
15,cotton,mature
16,corn,mature
17,wheat,mature
18,sunflower,mature
19,canary,mature
20,millet,mature
21,barley,old
22,chick_peas_mung_bean,old
23,sorghum,old
24,soybean,old
25,cotton,old
26,corn,old
27,wheat,old
28,sunflower,old
29,canary,old
30,millet,old
31,barley,stubble
32,chick_peas_mung_bean,stubble
33,sorghum,stubble
34,soybean,stubble
35,cotton,stubble
36,corn,stubble
37,wheat,stubble
38,sunflower,stubble
39,canary,stubble
40,millet,stubble
41,barley,mulch
42,chick_peas_mung_bean,mulch
43,sorghum,mulch
44,soybean,mulch
45,cotton,mulch
46,corn,mulch
47,wheat,mulch
48,sunflower,mulch
49,canary,mulch
50,millet,mulch
51,plough,NA
52,fallow,NA
53,grazed_stubble_mulch,NA
54,verge,road
55,verge,farm
56,fallow_weedy,NA
57,verge,road_burnt
58,grain_crop,failed
60,grassed_paddock,ungrazed_dense
61,grassed_paddock,ungrazed_sparse
62,waterways_or_contour_banks_within_cropping_area,grazed_dense
63,waterways_or_contour_banks_within_cropping_area,grazed_sparse
64,waterways_or_contour_banks_within_cropping_area,ungrazed_dense
65,waterways_or_contour_banks_within_cropping_area,ungrazed_sparse
66,grassed_paddock,grazed_dense
67,grassed_paddock,grazed_sparse
70,sorghum,grazed
71,legume,grazed
72,oats,grazed
73,barley,grazed
74,millet,grazed
80,sorghum,ungrazed
81,legume,ungrazed
82,oats,ungrazed
83,barley,ungrazed
84,millet,ungrazed
94,verge,road_mown